(0, 1)
(1, 0)
(1, 2)
(2, 1)
(1, 3)
(3, 1)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(5, 6)
(6, 5)
(6, 7)
(7, 6)
(6, 8)
(8, 6)
(8, 9)
(9, 8)
(9, 10)
(10, 9)
(10, 11)
(11, 10)
(11, 12)
(12, 11)
(11, 13)
(13, 11)
(11, 14)
(14, 11)
(8, 15)
(15, 8)
(15, 16)
(16, 15)
(16, 17)
(17, 16)
(16, 18)
(18, 16)
(18, 19)
(19, 18)
(19, 20)
(20, 19)
(20, 21)
(21, 20)
(21, 22)
(22, 21)
(22, 23)
(23, 22)
(23, 24)
(24, 23)
(23, 25)
(25, 23)
(25, 26)
(26, 25)
(18, 27)
(27, 18)
(27, 28)
(28, 27)
(28, 29)
(29, 28)
(28, 30)
(30, 28)
(30, 31)
(31, 30)
(31, 32)
(32, 31)
(30, 33)
(33, 30)
(33, 34)
(34, 33)
(34, 35)
(35, 34)
(34, 36)
(36, 34)
(36, 37)
(37, 36)
(37, 38)
(38, 37)
(38, 39)
(39, 38)
(39, 40)
(40, 39)
(40, 41)
(41, 40)
(41, 42)
(42, 41)
(42, 43)
(43, 42)
(43, 44)
(44, 43)
(44, 45)
(45, 44)
(45, 46)
(46, 45)
(36, 47)
(47, 36)
(47, 48)
(48, 47)
(48, 49)
(49, 48)
(48, 50)
(50, 48)
(50, 51)
(51, 50)
(51, 52)
(52, 51)
(52, 53)
(53, 52)
(53, 54)
(54, 53)
(54, 55)
(55, 54)
(55, 56)
(56, 55)
(50, 57)
(57, 50)
(57, 58)
(58, 57)
(58, 59)
(59, 58)
(58, 60)
(60, 58)
(60, 61)
(61, 60)
(61, 62)
(62, 61)
(62, 63)
(63, 62)
(63, 64)
(64, 63)
(63, 65)
(65, 63)
(4, 66)
(66, 4)
(66, 67)
(67, 66)
(66, 68)
(68, 66)
(68, 69)
(69, 68)
(69, 70)
(70, 69)
(70, 71)
(71, 70)
(71, 72)
(72, 71)
(72, 73)
(73, 72)
(73, 74)
(74, 73)
(74, 75)
(75, 74)
(74, 76)
(76, 74)
(69, 77)
(77, 69)
(77, 78)
(78, 77)
(77, 79)
(79, 77)
(79, 80)
(80, 79)
(80, 81)
(81, 80)
(81, 82)
(82, 81)
(82, 83)
(83, 82)
(83, 84)
(84, 83)
(84, 85)
(85, 84)
(84, 86)
(86, 84)
(86, 87)
(87, 86)
(87, 88)
(88, 87)
(88, 89)
(89, 88)
(88, 90)
(90, 88)
(26, 20)
(20, 26)
(46, 38)
(38, 46)
(56, 52)
(52, 56)
(65, 60)
(60, 65)
(83, 79)
(79, 83)
(46, 41)
(41, 46)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(1, 3)
(3, 1)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(5, 6)
(6, 5)
(6, 7)
(7, 6)
(7, 8)
(8, 7)
(7, 9)
(9, 7)
(9, 10)
(10, 9)
(10, 11)
(11, 10)
(11, 12)
(12, 11)
(12, 13)
(13, 12)
(13, 14)
(14, 13)
(14, 15)
(15, 14)
(15, 16)
(16, 15)
(9, 17)
(17, 9)
(17, 18)
(18, 17)
(18, 19)
(19, 18)
(18, 20)
(20, 18)
(20, 21)
(21, 20)
(21, 22)
(22, 21)
(22, 23)
(23, 22)
(23, 24)
(24, 23)
(24, 25)
(25, 24)
(25, 26)
(26, 25)
(25, 27)
(27, 25)
(27, 28)
(28, 27)
(20, 29)
(29, 20)
(29, 30)
(30, 29)
(30, 31)
(31, 30)
(30, 32)
(32, 30)
(32, 33)
(33, 32)
(33, 34)
(34, 33)
(34, 35)
(35, 34)
(35, 36)
(36, 35)
(36, 37)
(37, 36)
(37, 38)
(38, 37)
(38, 39)
(39, 38)
(39, 40)
(40, 39)
(39, 41)
(41, 39)
(41, 42)
(42, 41)
(42, 43)
(43, 42)
(43, 44)
(44, 43)
(43, 45)
(45, 43)
(41, 46)
(46, 41)
(46, 47)
(47, 46)
(47, 48)
(48, 47)
(37, 49)
(49, 37)
(49, 50)
(50, 49)
(49, 51)
(51, 49)
(51, 52)
(52, 51)
(52, 53)
(53, 52)
(53, 54)
(54, 53)
(54, 55)
(55, 54)
(55, 56)
(56, 55)
(56, 57)
(57, 56)
(56, 58)
(58, 56)
(58, 59)
(59, 58)
(59, 60)
(60, 59)
(60, 61)
(61, 60)
(61, 62)
(62, 61)
(62, 63)
(63, 62)
(63, 64)
(64, 63)
(64, 65)
(65, 64)
(64, 66)
(66, 64)
(59, 67)
(67, 59)
(67, 68)
(68, 67)
(67, 69)
(69, 67)
(69, 70)
(70, 69)
(70, 71)
(71, 70)
(71, 72)
(72, 71)
(71, 73)
(73, 71)
(47, 5)
(5, 47)
(55, 51)
(51, 55)
(16, 11)
(11, 16)
(28, 22)
(22, 28)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(2, 3)
(3, 2)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(4, 6)
(6, 4)
(6, 7)
(7, 6)
(7, 8)
(8, 7)
(8, 9)
(9, 8)
(9, 10)
(10, 9)
(10, 11)
(11, 10)
(11, 12)
(12, 11)
(11, 6)
(6, 11)
(0, 1)
(1, 0)
(0, 2)
(2, 0)
(2, 3)
(3, 2)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(5, 6)
(6, 5)
(6, 7)
(7, 6)
(7, 8)
(8, 7)
(8, 9)
(9, 8)
(9, 10)
(10, 9)
(10, 11)
(11, 10)
(10, 12)
(12, 10)
(12, 13)
(13, 12)
(13, 14)
(14, 13)
(14, 15)
(15, 14)
(14, 16)
(16, 14)
(16, 17)
(17, 16)
(17, 18)
(18, 17)
(18, 19)
(19, 18)
(19, 20)
(20, 19)
(19, 0)
(0, 19)
(19, 4)
(4, 19)
(16, 5)
(5, 16)
(14, 8)
(8, 14)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(1, 3)
(3, 1)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(5, 6)
(6, 5)
(6, 7)
(7, 6)
(6, 8)
(8, 6)
(8, 9)
(9, 8)
(9, 10)
(10, 9)
(10, 11)
(11, 10)
(11, 12)
(12, 11)
(12, 13)
(13, 12)
(13, 14)
(14, 13)
(13, 15)
(15, 13)
(15, 16)
(16, 15)
(16, 10)
(10, 16)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(2, 3)
(3, 2)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(5, 6)
(6, 5)
(6, 7)
(7, 6)
(7, 8)
(8, 7)
(4, 9)
(9, 4)
(9, 10)
(10, 9)
(10, 11)
(11, 10)
(11, 12)
(12, 11)
(11, 13)
(13, 11)
(13, 14)
(14, 13)
(14, 15)
(15, 14)
(15, 16)
(16, 15)
(16, 17)
(17, 16)
(16, 18)
(18, 16)
(18, 19)
(19, 18)
(18, 20)
(20, 18)
(20, 21)
(21, 20)
(20, 22)
(22, 20)
(20, 23)
(23, 20)
(9, 1)
(1, 9)
(19, 13)
(13, 19)
(8, 3)
(3, 8)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(2, 3)
(3, 2)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(5, 6)
(6, 5)
(6, 7)
(7, 6)
(7, 8)
(8, 7)
(8, 9)
(9, 8)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(2, 3)
(3, 2)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(5, 6)
(6, 5)
(6, 7)
(7, 6)
(7, 8)
(8, 7)
(8, 9)
(9, 8)
(9, 10)
(10, 9)
(9, 11)
(11, 9)
(11, 12)
(12, 11)
(12, 13)
(13, 12)
(13, 14)
(14, 13)
(14, 15)
(15, 14)
(15, 16)
(16, 15)
(16, 17)
(17, 16)
(17, 18)
(18, 17)
(18, 19)
(19, 18)
(19, 20)
(20, 19)
(20, 21)
(21, 20)
(21, 22)
(22, 21)
(22, 23)
(23, 22)
(23, 24)
(24, 23)
(24, 25)
(25, 24)
(25, 26)
(26, 25)
(26, 27)
(27, 26)
(27, 28)
(28, 27)
(14, 29)
(29, 14)
(6, 1)
(1, 6)
(29, 11)
(11, 29)
(28, 20)
(20, 28)
(27, 22)
(22, 27)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(1, 3)
(3, 1)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(4, 6)
(6, 4)
(6, 7)
(7, 6)
(6, 8)
(8, 6)
(8, 9)
(9, 8)
(9, 10)
(10, 9)
(10, 11)
(11, 10)
(11, 12)
(12, 11)
(9, 1)
(1, 9)
(11, 4)
(4, 11)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(2, 3)
(3, 2)
(3, 4)
(4, 3)
(3, 5)
(5, 3)
(5, 6)
(6, 5)
(6, 7)
(7, 6)
(6, 8)
(8, 6)
(8, 9)
(9, 8)
(9, 10)
(10, 9)
(2, 11)
(11, 2)
(11, 12)
(12, 11)
(12, 13)
(13, 12)
(13, 14)
(14, 13)
(14, 15)
(15, 14)
(15, 16)
(16, 15)
(16, 17)
(17, 16)
(16, 18)
(18, 16)
(9, 2)
(2, 9)
(18, 11)
(11, 18)
(17, 13)
(13, 17)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(2, 3)
(3, 2)
(3, 4)
(4, 3)
(4, 5)
(5, 4)
(5, 6)
(6, 5)
(5, 7)
(7, 5)
(7, 8)
(8, 7)
(8, 9)
(9, 8)
(9, 10)
(10, 9)
(9, 11)
(11, 9)
(11, 12)
(12, 11)
(12, 13)
(13, 12)
(13, 14)
(14, 13)
(13, 15)
(15, 13)
(15, 16)
(16, 15)
(16, 17)
(17, 16)
(16, 18)
(18, 16)
(18, 19)
(19, 18)
(19, 20)
(20, 19)
(19, 21)
(21, 19)
(21, 22)
(22, 21)
(22, 23)
(23, 22)
(23, 24)
(24, 23)
(23, 25)
(25, 23)
(23, 26)
(26, 23)
(21, 27)
(27, 21)
(27, 28)
(28, 27)
(27, 29)
(29, 27)
(29, 30)
(30, 29)
(21, 0)
(0, 21)
(26, 0)
(0, 26)
(19, 2)
(2, 19)
(15, 3)
(3, 15)
(13, 7)
(7, 13)
(0, 1)
(1, 0)
(1, 2)
(2, 1)
(2, 3)
(3, 2)
(2, 4)
